,ds,yhat,yhat_lower,yhat_upper
2025-05-21,2025-05-21,94348.56015208899,63526.37698216873,125170.74332200925
2025-05-22,2025-05-22,94187.30393255193,63245.917912208795,125128.68995289507
2025-05-23,2025-05-23,94388.56017390658,63326.69895062839,125450.42139718475
2025-05-24,2025-05-24,94589.49055079007,63409.00388801829,125769.97721356186
2025-05-25,2025-05-25,94432.6861192917,63135.99089076004,125729.38134782336
2025-05-26,2025-05-26,94201.85694393388,62788.44673514752,125615.26715272023
2025-05-27,2025-05-27,94308.59125709957,62776.76758079178,125840.41493340736
2025-05-28,2025-05-28,94558.507369783,62909.197035984136,126207.81770358185
2025-05-29,2025-05-29,94505.14840954798,62740.96718115475,126269.3296379412
2025-05-30,2025-05-30,94247.48346837694,62368.826026369,126126.14091038489
2025-05-31,2025-05-31,94246.581892681,62251.71709782681,126241.4466875352
2025-06-01,2025-06-01,94500.60575494586,62389.52736261156,126611.68414728018
2025-06-02,2025-06-02,94554.29121482726,62329.431646797166,126779.15078285735
2025-06-03,2025-06-03,94314.82614457971,61977.414055930814,126652.2382332286
2025-06-04,2025-06-04,94212.09004526478,61760.723341677745,126663.45674885181
2025-06-05,2025-06-05,94426.9989611985,61860.8839552008,126993.11396719619
2025-06-06,2025-06-06,94573.0214627737,61894.08077412002,127251.96215142737
2025-06-07,2025-06-07,94391.34114350053,61601.43539479446,127181.24689220659
2025-06-08,2025-06-08,94209.51257424535,61307.84240423179,127111.18274425891
2025-06-09,2025-06-09,94350.9723443077,61336.2202588706,127365.72442974479
2025-06-10,2025-06-10,94559.76477986957,61433.124502428436,127686.40505731071
2025-06-11,2025-06-11,94463.59317332358,61227.26311956796,127699.9232270792
2025-06-12,2025-06-12,94237.60946792531,60891.54207657452,127583.67685927611
2025-06-13,2025-06-13,94285.52586142083,60828.20694466545,127742.84477817621
2025-06-14,2025-06-14,94518.44334517496,60950.25573151733,128086.6309588326
2025-06-15,2025-06-15,94519.57474318949,60842.72321857548,128196.4262678035
2025-06-16,2025-06-16,94290.01255850986,60505.21212002011,128074.81299699961
