Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-03-23,27250.97,28750.0,27105.0,28295.41,128649.60818,1679615999999,3591123573.1149583,2159091,65172.02479,1819323637.2903445,0
2023-03-24,28295.42,28374.3,27000.0,27454.47,86242.06544,1679702399999,2403443392.0273013,1511137,41449.56122,1155147465.7389932,0
2023-03-25,27454.46,27787.33,27156.09,27462.95,50844.08102,1679788799999,1397227639.2141378,1088721,25326.94876,696042529.0839624,0
2023-03-26,27462.96,28194.4,27417.76,27968.05,49671.70353,1679875199999,1380973402.9961205,1068196,25248.15818,702028235.0573266,0
2023-03-27,27968.05,28023.86,26508.14,27124.91,88039.46898,1679961599999,2407130888.034605,1575264,43151.91539,1179905180.6135278,0
2023-03-28,27124.9,27520.0,26631.78,27261.07,78602.44341,1680047999999,2124533606.765556,1521981,38972.61486,1053473599.2587688,0
2023-03-29,27261.06,28650.0,27240.1,28348.6,89486.16008,1680134399999,2519887866.2111588,1704217,45742.08025,1288220696.4926782,0
2023-03-30,28348.6,29184.68,27686.0,28028.53,98865.43256,1680220799999,2808471938.6424427,1843652,49100.20979,1394972886.7062368,0
2023-03-31,28028.53,28656.69,27511.71,28465.36,78198.12139,1680307199999,2203253311.777351,1537349,39636.47111,1117184234.1868575,0
2023-04-01,28465.36,28819.71,28220.27,28452.73,30238.44753,1680393599999,860804237.452269,822781,15171.37738,431931567.4827481,0
2023-04-02,28452.74,28530.0,27856.43,28171.87,37365.65692,1680479999999,1053600933.0676805,938464,17897.01839,504647268.0863643,0
2023-04-03,28171.87,28500.99,27200.24,27800.0,79180.01405,1680566399999,2214361048.7823668,1651062,40534.82008,1133865764.0916288,0
2023-04-04,27800.0,28444.44,27662.79,28165.47,49722.55691,1680652799999,1397141464.875036,1102007,25083.95234,704845402.4191409,0
2023-04-05,28165.47,28775.0,27805.1,28170.01,60737.64732,1680739199999,1721098539.0660567,1262730,30556.88672,865971090.1704682,0
2023-04-06,28170.01,28182.05,27711.0,28033.82,40118.94963,1680825599999,1122713087.5561826,934548,19308.64369,540384260.8568,0
2023-04-07,28033.83,28100.0,27766.94,27906.33,24762.09387,1680911999999,691323748.9286413,655634,11983.13367,334559478.4702819,0
2023-04-08,27906.34,28154.99,27859.02,27938.38,19479.96735,1680998399999,545324518.6860754,624159,9729.24214,272366679.3440387,0
2023-04-09,27938.38,28530.0,27800.0,28323.76,32531.16101,1681084799999,913915923.6951957,777589,16885.70757,474454325.3569296,0
2023-04-10,28323.76,29770.0,28170.0,29637.34,67754.0622,1681171199999,1955300943.1708305,1285695,36147.62326,1043138687.5916125,0
2023-04-11,29637.35,30550.0,29590.0,30200.42,67990.07621,1681257599999,2046078278.0821176,1340458,34766.92718,1046250622.2934568,0
2023-04-12,30200.43,30486.0,29637.4,29888.07,62049.48451,1681343999999,1863497606.1415303,1246556,31136.38576,935223730.572567,0
2023-04-13,29888.07,30595.0,29854.59,30373.84,51934.11731,1681430399999,1571091101.1299672,1054144,26767.65298,809748635.0025868,0
2023-04-14,30373.84,31000.0,29966.0,30466.93,75984.19452,1681516799999,2323267494.38023,1504180,38406.59006,1174371283.5651665,0
2023-04-15,30466.93,30595.6,30202.0,30295.09,25429.81247,1681603199999,772211097.614016,732418,12424.34509,377293528.3129067,0
2023-04-16,30295.1,30549.99,30120.0,30304.65,26431.99322,1681689599999,801322926.1525651,708233,13163.73591,399115587.0035981,0
2023-04-17,30304.66,30316.06,29240.65,29430.27,56441.81127,1681775999999,1675287761.4330356,1137294,26880.17771,797711012.8071816,0
2023-04-18,29430.27,30485.0,29096.78,30380.01,62004.89434,1681862399999,1861001491.9786973,1141562,32417.57068,972769560.7303039,0
2023-04-19,30380.01,30413.53,28520.0,28797.1,86575.48656,1681948799999,2541283888.303447,1699891,41467.78872,1217556267.2010958,0
2023-04-20,28797.1,29088.3,28010.0,28243.65,76879.09372,1682035199999,2198854031.424746,1434642,36919.58585,1055949765.7724996,0
2023-04-21,28243.65,28374.02,27125.0,27262.84,77684.7679,1682121599999,2164667611.9354606,1463628,38419.13612,1070540576.475792,0
2023-04-22,27262.84,27882.72,27140.35,27816.85,36023.69686,1682207999999,989379475.3218232,859500,18612.89655,511200971.6362268,0
2023-04-23,27816.85,27816.85,27311.25,27590.6,34812.09581,1682294399999,959389698.7572551,873485,17610.47671,485328645.6943109,0
2023-04-24,27590.59,28000.0,26942.82,27510.93,53111.56874,1682380799999,1458406515.6404214,1211080,25641.28044,704079582.6514922,0
2023-04-25,27510.93,28399.99,27192.0,28300.79,52325.14637,1682467199999,1446329375.242731,1087067,26833.47192,742069216.9989536,0
2023-04-26,28300.8,30036.0,27235.0,28415.29,129228.40403,1682553599999,3719701461.9091635,2261942,64540.55521,1857698379.2654004,0
2023-04-27,28415.29,29890.0,28378.86,29472.77,95430.82431,1682639999999,2784859692.3646197,1990148,48601.97474,1418439305.6179047,0
2023-04-28,29472.77,29599.54,28891.0,29311.7,54298.16578,1682726399999,1590683771.6681979,1129240,26659.2164,780784851.5470374,0
2023-04-29,29311.69,29448.88,29031.0,29230.45,20466.83058,1682812799999,599466910.0466621,619319,10024.59978,293627195.7058327,0
2023-04-30,29230.45,29969.39,29079.59,29233.21,39752.5372,1682899199999,1172155267.8761897,949458,19894.27252,586711670.5560739,0
2023-05-01,29233.2,29337.34,27666.95,28068.26,64433.65958,1682985599999,1828221138.9544399,1362793,30761.9269,872712018.1808254,0
2023-05-02,28068.26,28879.88,27872.0,28669.86,50824.5224,1683071999999,1441733922.0116444,1174697,24789.36748,703206831.7801806,0
2023-05-03,28669.85,29266.66,28113.69,29026.16,64615.79213,1683158399999,1845961218.8432436,1502909,32291.20998,922549963.2507579,0
2023-05-04,29026.16,29379.83,28663.64,28838.16,42575.47501,1683244799999,1233816136.1606576,961542,20470.2124,593281438.9381377,0
2023-05-05,28838.16,29677.0,28800.0,29505.61,58415.83048,1683331199999,1709786814.901134,1288027,29071.98606,850975342.6424303,0
2023-05-06,29505.6,29820.0,28300.0,28848.2,49249.28459,1683417599999,1429517892.780502,1221021,23315.95073,676717267.0117224,0
2023-05-07,28848.19,29138.29,28395.23,28430.1,30003.41028,1683503999999,865838535.326382,855425,14904.01102,430162358.6294252,0
2023-05-08,28430.09,28631.01,27262.0,27668.79,68244.36179,1683590399999,1903052694.6684127,1600637,32347.56935,901988104.11036,0
2023-05-09,27668.8,27818.0,27353.0,27628.27,40113.31069,1683676799999,1106923908.305847,1003698,20094.09737,554561922.8053713,0
2023-05-10,27628.28,28331.42,26777.0,27598.75,71155.11355,1683763199999,1971173412.435502,1534579,34398.83676,953153016.5096189,0
2023-05-11,27598.74,27630.14,26702.05,26968.62,47635.31365,1683849599999,1295799109.011004,1257000,23270.11723,632925807.4925774,0
2023-05-12,26968.61,27091.12,25811.46,26795.01,67207.93494,1683935999999,1777052127.731093,1351633,33147.27251,876487224.2550423,0
2023-05-13,26795.01,27045.45,26692.03,26775.28,22814.90421,1684022399999,612062852.0866882,605049,10959.29947,294038915.0326263,0
2023-05-14,26775.27,27200.0,26560.53,26917.62,21594.8036,1684108799999,580801698.0002693,629537,10672.14983,287060095.3315276,0
2023-05-15,26917.61,27663.59,26726.0,27162.14,40430.08333,1684195199999,1104633264.131574,935914,19301.24631,527237637.3310134,0
2023-05-16,27162.15,27296.89,26852.11,27033.84,33270.45451,1684281599999,900273404.6010331,815642,15970.99932,432214355.0561344,0
2023-05-17,27033.85,27500.0,26544.71,27405.61,42958.97785,1684367999999,1159714527.6352634,1016823,21634.02212,584185553.7913067,0
2023-05-18,27405.62,27485.33,26361.2,26821.28,49198.65143,1684454399999,1330745572.6946373,1057318,23659.89374,640128055.9068437,0
2023-05-19,26821.28,27183.6,26630.0,26880.26,28754.13544,1684540799999,772864757.1633048,756295,13622.24812,366169697.3870807,0
2023-05-20,26880.26,27150.0,26825.11,27102.43,14434.54718,1684627199999,389225653.7451669,481382,6769.94368,182562924.6341634,0
