Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2023-10-24,0.2808,0.2939,0.2733,0.2792,171131052.9,1698191999999,48362853.90133,163521,83544693.1,23623335.67693,0
2023-10-25,0.2793,0.29,0.2762,0.2808,100707132.0,1698278399999,28401732.32853,96877,45044088.2,12708958.7108,0
2023-10-26,0.2809,0.298,0.28,0.2872,126349394.6,1698364799999,36497978.93554,136549,59179552.7,17125991.07904,0
2023-10-27,0.2871,0.2926,0.2806,0.2893,59005757.2,1698451199999,16908770.4292,81718,28805597.7,8257793.19093,0
2023-10-28,0.2893,0.2975,0.2887,0.2909,43195418.6,1698537599999,12659989.33204,51041,20693834.7,6067853.06377,0
2023-10-29,0.2909,0.2986,0.2881,0.2954,45363693.5,1698623999999,13386457.5176,53491,22403974.8,6615169.75489,0
2023-10-30,0.2955,0.3031,0.292,0.3031,88760107.7,1698710399999,26501988.39817,79257,46299852.3,13849226.03382,0
2023-10-31,0.3031,0.3046,0.2845,0.293,115945883.2,1698796799999,34276010.96131,111078,57695855.7,17075116.66761,0
2023-11-01,0.2929,0.3087,0.2839,0.3071,144162060.8,1698883199999,42526447.21252,128657,76637492.3,22680310.29057,0
2023-11-02,0.3072,0.3295,0.2981,0.323,201974366.4,1698969599999,63495342.42994,224308,102278074.4,32192842.89675,0
2023-11-03,0.3231,0.3296,0.3114,0.3292,134180972.4,1699055999999,42962238.33213,154830,63894286.6,20472541.55951,0
2023-11-04,0.3291,0.3306,0.3208,0.3278,63442713.4,1699142399999,20667223.7131,71145,31726222.5,10338379.15125,0
2023-11-05,0.3278,0.35,0.326,0.3419,130046711.3,1699228799999,44191001.23457,140001,65054968.2,22117037.54585,0
2023-11-06,0.3419,0.3757,0.3373,0.3624,179872075.7,1699315199999,64189613.6777,183270,88384165.6,31530236.43104,0
2023-11-07,0.3624,0.3655,0.3335,0.3512,204897945.9,1699401599999,71696678.81331,184385,95291505.6,33343931.33135,0
2023-11-08,0.3512,0.3603,0.3486,0.3577,113764823.7,1699487999999,40448414.89914,107540,57957906.7,20609771.55938,0
2023-11-09,0.3577,0.3864,0.3417,0.3684,275776697.4,1699574399999,101472915.16402,309863,137190152.9,50487780.28698,0
2023-11-10,0.3685,0.3886,0.3626,0.3859,191392833.4,1699660799999,71607868.4358,232056,97973215.2,36656453.43417,0
2023-11-11,0.386,0.3951,0.3694,0.3844,197565105.7,1699747199999,75793640.55903,231932,97830263.9,37540207.08502,0
2023-11-12,0.3844,0.3914,0.3705,0.3834,131765655.6,1699833599999,50376128.91699,148430,66107343.8,25276787.90235,0
2023-11-13,0.3835,0.3885,0.3529,0.3568,173268736.2,1699919999999,64114557.64853,207312,84875436.8,31395999.79551,0
2023-11-14,0.3568,0.3719,0.34,0.3579,162292352.2,1700006399999,58129604.08352,200881,78665102.6,28185764.61037,0
2023-11-15,0.3579,0.3794,0.3534,0.3788,127946698.0,1700092799999,47114589.61189,150521,62156978.4,22891923.79476,0
2023-11-16,0.3787,0.4095,0.3585,0.3706,307196631.1,1700179199999,118437307.09425,374557,154013471.2,59409864.22082,0
2023-11-17,0.3707,0.3783,0.3527,0.3671,142430049.9,1700265599999,52290392.26441,167500,69840761.2,25650875.35134,0
2023-11-18,0.3671,0.3777,0.3488,0.3772,112215311.8,1700351999999,40864280.0991,122169,58684951.0,21381959.62146,0
2023-11-19,0.3771,0.3857,0.3687,0.384,101902781.3,1700438399999,38387971.2018,108833,49483335.7,18653240.85579,0
2023-11-20,0.384,0.3994,0.378,0.3804,132991378.7,1700524799999,51637254.31026,144441,65288954.0,25364964.62052,0
2023-11-21,0.3803,0.3899,0.3551,0.3566,169158003.7,1700611199999,63056688.07199,198812,81315112.3,30337214.59499,0
2023-11-22,0.3566,0.3874,0.3553,0.3805,93647895.7,1700697599999,34925607.49804,107286,47385317.5,17681418.60026,0
2023-11-23,0.3805,0.3874,0.376,0.3873,68175668.9,1700783999999,26044261.13508,75262,34351028.6,13126122.79098,0
2023-11-24,0.3872,0.3977,0.3836,0.3862,108957051.4,1700870399999,42555097.07189,120145,52359046.1,20453642.98924,0
2023-11-25,0.3862,0.3959,0.3845,0.3941,52139797.7,1700956799999,20428192.81009,62329,25944505.4,10167029.51047,0
2023-11-26,0.3942,0.3956,0.3782,0.3873,64465067.7,1701043199999,25032105.93793,77297,30073864.5,11676011.05671,0
2023-11-27,0.3874,0.3922,0.3712,0.3777,70669351.5,1701129599999,26862849.37163,90017,33724904.0,12820966.37623,0
2023-11-28,0.3778,0.3883,0.3693,0.3858,79174386.6,1701215999999,30056629.96875,89287,39326104.4,14934722.35293,0
2023-11-29,0.3857,0.3892,0.3775,0.3816,68200523.6,1701302399999,26203000.01848,78311,33711014.6,12952954.04503,0
2023-11-30,0.3817,0.3829,0.3719,0.3759,59930456.8,1701388799999,22527228.97066,74829,28443580.1,10690671.30876,0
2023-12-01,0.376,0.3855,0.3736,0.3844,56334397.5,1701475199999,21463527.29523,64622,28128294.1,10716799.34133,0
2023-12-02,0.3844,0.398,0.3827,0.3976,68638568.3,1701561599999,26791837.0559,77129,34508138.1,13478472.24893,0
2023-12-03,0.3976,0.403,0.3878,0.3949,91882676.8,1701647999999,36255492.70863,99774,45291891.8,17878764.82656,0
2023-12-04,0.3948,0.415,0.3911,0.4068,177280730.9,1701734399999,71595207.90761,199303,91523663.4,36980545.62028,0
2023-12-05,0.4069,0.426,0.3969,0.4257,153779346.5,1701820799999,63266846.14246,169741,79566650.9,32783168.93586,0
2023-12-06,0.4258,0.455,0.4162,0.4429,270929667.9,1701907199999,118328355.02696,317816,134218950.2,58648962.18047,0
2023-12-07,0.4431,0.4599,0.4312,0.4555,180487882.7,1701993599999,80570510.54735,213948,88625758.9,39569059.14235,0
